customer_id,customer_segment,order_count,total_spent,avg_order_value,last_purchase_date
72290,,1,67.0,67.0,2018-08-23 00:00:00
72486,,1,184.0,184.0,2018-08-23 00:00:00
72648,,1,59.9,59.9,2018-08-24 00:00:00
72709,,1,469.0,469.0,2018-08-25 00:00:00
73015,,1,174.9,87.45,2018-08-24 00:00:00
73182,,1,7.5,7.5,2018-08-28 00:00:00
73376,,1,17.5,17.5,2018-08-26 00:00:00
73460,,1,69.0,69.0,2018-08-23 00:00:00
73541,,1,399.9,399.9,2018-08-24 00:00:00
73625,,1,29.99,29.99,2018-08-25 00:00:00
73693,,1,17.9,17.9,2018-08-25 00:00:00
73721,,1,25.0,25.0,2018-08-27 00:00:00
73996,,1,19.15,19.15,2018-08-24 00:00:00
74452,,1,46.9,46.9,2018-08-23 00:00:00
74744,,1,29.99,29.99,2018-08-28 00:00:00
74952,,1,4.99,4.99,2018-08-23 00:00:00
75146,,1,76.0,76.0,2018-08-26 00:00:00
75215,,1,60.0,60.0,2018-08-23 00:00:00
75324,,1,139.8,69.9,2018-08-26 00:00:00
75420,,1,68.0,34.0,2018-08-23 00:00:00
75863,,1,14.9,14.9,2018-08-28 00:00:00
76463,,1,13.59,13.59,2018-08-26 00:00:00
76530,,1,38.67,38.67,2018-08-26 00:00:00
76587,,1,124.99,124.99,2018-08-23 00:00:00
76685,,1,201.9,201.9,2018-08-27 00:00:00
76755,,1,14.9,14.9,2018-08-26 00:00:00
76809,,1,32.99,32.99,2018-08-23 00:00:00
76834,,1,85.0,85.0,2018-08-26 00:00:00
77280,,1,18.99,18.99,2018-08-26 00:00:00
77355,,1,517.8,517.8,2018-08-27 00:00:00
77627,,1,84.99,84.99,2018-08-24 00:00:00
78088,,1,2300.0,2300.0,2018-08-25 00:00:00
78101,,1,27.9,27.9,2018-08-23 00:00:00
78262,,1,30.0,30.0,2018-08-28 00:00:00
78606,,1,119.0,119.0,2018-08-26 00:00:00
79149,,1,100.59,100.59,2018-08-24 00:00:00
79159,,1,76.9,38.45,2018-08-25 00:00:00
79303,,1,31.0,31.0,2018-08-25 00:00:00
80184,,1,37.98,18.99,2018-08-26 00:00:00
80328,,1,62.9,62.9,2018-08-23 00:00:00
80432,,1,79.9,79.9,2018-08-27 00:00:00
80790,,1,124.80000000000001,62.400000000000006,2018-08-24 00:00:00
82048,,1,61.9,61.9,2018-08-27 00:00:00
82104,,1,50.0,25.0,2018-08-23 00:00:00
82469,,1,8.9,8.9,2018-08-23 00:00:00
82564,,1,548.06,548.06,2018-08-23 00:00:00
82991,,1,735.0,735.0,2018-08-23 00:00:00
83099,,1,58.9,58.9,2018-08-23 00:00:00
83502,,1,69.9,69.9,2018-08-23 00:00:00
84099,,1,18.49,18.49,2018-08-25 00:00:00
84700,,1,29.9,29.9,2018-08-26 00:00:00
84839,,1,88.0,88.0,2018-08-24 00:00:00
84912,,1,79.99,79.99,2018-08-23 00:00:00
85209,,1,139.99,139.99,2018-08-23 00:00:00
85335,,1,85.0,85.0,2018-08-27 00:00:00
85966,,1,79.49,79.49,2018-08-28 00:00:00
86311,,1,124.95,124.95,2018-08-26 00:00:00
86318,,1,25.5,25.5,2018-08-24 00:00:00
86338,,1,98.48,98.48,2018-08-27 00:00:00
86626,,1,99.0,99.0,2018-08-23 00:00:00
86720,,1,85.9,85.9,2018-08-26 00:00:00
87106,,1,58.2,58.2,2018-08-28 00:00:00
87163,,1,149.0,49.666666666666664,2018-08-27 00:00:00
87360,,1,106.6,53.3,2018-08-23 00:00:00
